scenario,run,baseline,seed,outcome,reason,paused_committed_before_submit,gateway_released,stale_executed,correct_revoke,ros_published,ros_observed,validation_latency_ms,e2e_latency_ms,intent_age_at_submit_ms,pause_ms,freshness_ms,exported_at
e1b,84,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.045247867703438,221.326,200,1000,2026-09-24T22:14:31.763568+00:00
e1b,85,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.7188520655035973,227.293,200,1000,2026-09-24T22:14:32.052212+00:00
e1b,86,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.3035818487405777,221.894,200,1000,2026-09-24T22:14:32.335981+00:00
e1b,87,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.4720590338110924,227.352,200,1000,2026-09-24T22:14:32.624791+00:00
e1b,88,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.83396290615201,220.586,200,1000,2026-09-24T22:14:32.907787+00:00
e1b,89,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.0833599157631397,219.113,200,1000,2026-09-24T22:14:33.192937+00:00
e1b,90,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.0800141394138336,220.941,200,1000,2026-09-24T22:14:33.475071+00:00
e1b,91,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.5992669872939587,220.799,200,1000,2026-09-24T22:14:33.757755+00:00
e1b,92,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.479581791907549,222.724,200,1000,2026-09-24T22:14:34.043218+00:00
e1b,93,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.3961962908506393,221.76,200,1000,2026-09-24T22:14:34.327567+00:00
e1b,94,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.5882662050426006,222.206,200,1000,2026-09-24T22:14:34.611819+00:00
e1b,95,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.044767305254936,223.47,200,1000,2026-09-24T22:14:34.903433+00:00
e1b,96,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.0988696962594986,219.6,200,1000,2026-09-24T22:14:35.184659+00:00
e1b,97,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.2210182398557663,221.326,200,1000,2026-09-24T22:14:35.469809+00:00
e1b,98,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.745711874216795,226.885,200,1000,2026-09-24T22:14:35.758424+00:00
e1b,99,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.6266683600842953,223.04,200,1000,2026-09-24T22:14:36.043113+00:00
e1b,0,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.031890347599983215,3.1089279800653458,220.462,200,1000,2026-09-24T22:14:36.327013+00:00
e1b,1,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.012231990694999695,3.0666496604681015,218.829,200,1000,2026-09-24T22:14:36.608673+00:00
e1b,2,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.021760817617177963,3.1182272359728813,220.279,200,1000,2026-09-24T22:14:36.891322+00:00
e1b,3,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.03241002559661865,3.03038302809,221.389,200,1000,2026-09-24T22:14:37.175485+00:00
e1b,4,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.016981735825538635,3.309825900942087,221.305,200,1000,2026-09-24T22:14:37.460089+00:00
e1b,5,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.01974683254957199,2.624351065605879,220.022,200,1000,2026-09-24T22:14:37.742429+00:00
e1b,6,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.01833401620388031,2.9835952445864677,220.059,200,1000,2026-09-24T22:14:38.023567+00:00
e1b,7,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.022111926227808,2.8577889315783978,218.591,200,1000,2026-09-24T22:14:38.304506+00:00
e1b,8,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.016841106116771698,2.9436699114739895,220.519,200,1000,2026-09-24T22:14:38.587562+00:00
e1b,9,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.022281892597675323,3.505663014948368,221.395,200,1000,2026-09-24T22:14:38.870900+00:00
e1b,10,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.037750694900751114,3.3033438958227634,220.899,200,1000,2026-09-24T22:14:39.152968+00:00
e1b,11,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.05397200584411621,3.447664901614189,221.719,200,1000,2026-09-24T22:14:39.435994+00:00
e1b,12,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.039925333112478256,3.2417993061244488,218.36,200,1000,2026-09-24T22:14:39.715226+00:00
e1b,13,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.027531757950782776,3.0909650959074497,219.706,200,1000,2026-09-24T22:14:39.995873+00:00
e1b,14,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.030145980417728424,3.644132986664772,220.318,200,1000,2026-09-24T22:14:40.277759+00:00
e1b,15,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.020508188754320145,3.130469936877489,219.02,200,1000,2026-09-24T22:14:40.558441+00:00
e1b,16,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.01695193350315094,3.273378126323223,221.671,200,1000,2026-09-24T22:14:40.842374+00:00
e1b,17,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.016019679605960846,3.152612131088972,220.399,200,1000,2026-09-24T22:14:41.125359+00:00
e1b,18,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.02240203320980072,2.9004979878664017,220.294,200,1000,2026-09-24T22:14:41.407975+00:00
e1b,19,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.023574568331241608,2.920134924352169,219.729,200,1000,2026-09-24T22:14:41.690274+00:00
e1b,20,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.0271601602435112,3.154224716126919,219.35,200,1000,2026-09-24T22:14:41.970483+00:00
e1b,21,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.039194244891405106,3.5615190863609314,220.18,200,1000,2026-09-24T22:14:42.251986+00:00
e1b,22,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.027011148631572723,2.6648971252143383,219.863,200,1000,2026-09-24T22:14:42.533596+00:00
e1b,23,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.021339859813451767,3.015494905412197,219.738,200,1000,2026-09-24T22:14:42.814713+00:00
e1b,24,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.026318710297346115,3.5585318692028522,220.457,200,1000,2026-09-24T22:14:43.096520+00:00
