run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
58,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,103,102,after_check,0,EXECUTE,atomic_actuation_committed,6.98167085647583,6.995556876063347,0.013886019587516785,5.5190990678966045,6.766507867723703,17.252389807254076,5.714154802262783,12.500769924372435,12.514655943959951
59,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,105,104,after_check,0,EXECUTE,atomic_actuation_committed,6.409076973795891,6.4237648621201515,0.014687888324260712,4.922571126371622,6.134293042123318,15.959946904331446,5.088041070848703,11.331648100167513,11.346335988491774
60,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,107,106,after_check,0,EXECUTE,atomic_actuation_committed,6.788549013435841,6.796864792704582,0.008315779268741608,4.256862215697765,5.425082985311747,15.711190178990364,4.368612077087164,11.045411229133606,11.053727008402348
61,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,109,108,after_check,0,EXECUTE,atomic_actuation_committed,6.946265231817961,6.9539593532681465,0.007694121450185776,4.671880044043064,5.887730047106743,16.363914124667645,4.845856223255396,11.618145275861025,11.62583939731121
62,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,111,110,after_check,0,EXECUTE,atomic_actuation_committed,7.136351894587278,7.150188088417053,0.013836193829774857,5.38926525041461,6.641944404691458,17.52305729314685,5.597115028649569,12.525617145001888,12.539453338831663
63,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,113,112,after_check,0,EXECUTE,atomic_actuation_committed,7.516093086451292,7.5245690532028675,0.00847596675157547,4.620804917067289,5.770199932157993,16.890911851078272,4.716704599559307,12.136898003518581,12.145373970270157
64,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,115,114,after_check,0,EXECUTE,atomic_actuation_committed,6.342161912471056,6.349355913698673,0.007194001227617264,4.4637699611485,5.73676684871316,15.231010038405657,4.691336769610643,10.805931873619556,10.813125874847174
65,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,117,116,after_check,0,EXECUTE,atomic_actuation_committed,6.818755995482206,6.830968894064426,0.012212898582220078,4.76459413766861,5.992916878312826,16.229592263698578,4.950021859258413,11.583350133150816,11.595563031733036
66,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,119,118,after_check,0,EXECUTE,atomic_actuation_committed,6.805800832808018,6.814928259700537,0.009127426892518997,4.461695905774832,5.608586128801107,15.96915302798152,4.554338753223419,11.26749673858285,11.276624165475368
67,xair_atomic,0,,0.0,control,1,0,0,0,0,,120,control,0,EXECUTE,atomic_actuation_committed,7.542091887444258,7.55006680265069,0.007974915206432343,4.529774188995361,,,4.533360246568918,12.071866076439619,12.079840991646051
68,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,122,121,after_check,0,EXECUTE,atomic_actuation_committed,6.3599757850170135,6.365555804222822,0.0055800192058086395,4.680706188082695,5.816386081278324,15.12914802879095,4.758723080158234,11.040681973099709,11.046261992305517
69,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,124,123,after_check,0,EXECUTE,atomic_actuation_committed,6.718196906149387,6.7313117906451225,0.013114884495735168,5.300119053572416,6.536907982081175,16.767079941928387,5.485035013407469,12.018315959721804,12.031430844217539
