run,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
183,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,58.116168016567826,58.12577600590885,0.009607989341020584,5.819583078846335,64.21827990561724,70.76438399963081,57.25308111868799,63.93575109541416,63.94535908475518
184,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,54.66090515255928,54.675012128427625,0.014106975868344307,4.182264907285571,,,54.33761887252331,58.84317005984485,58.857277035713196
185,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,56.118614971637726,56.13175011239946,0.013135140761733055,2.146892948076129,60.574735049158335,62.78396397829056,53.88936004601419,58.265507919713855,58.27864306047559
186,1,55.0,50.0,concurrent,1,0,0,1,0,EXECUTE,published_after_gate_recheck,57.09257093258202,57.10527510382235,0.012704171240329742,7.065617013722658,62.46081809513271,67.74423597380519,57.486488949507475,64.15818794630468,64.17089211754501
187,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,53.6938130389899,53.70612605474889,0.012313015758991241,7.460277061909437,62.87317001260817,66.05515209957957,57.966097025200725,61.15409010089934,61.16640311665833
188,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,58.2333579659462,58.24702279642224,0.013664830476045609,1.9003201741725206,60.56609796360135,66.26819004304707,52.162192994728684,60.13367814011872,60.147342970594764
189,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,59.03369793668389,59.05194208025932,0.018244143575429916,5.364168900996447,67.72078201174736,73.11233296059072,59.03646186925471,64.39786683768034,64.41611098125577
190,1,55.0,50.0,concurrent,1,0,0,1,0,EXECUTE,published_after_gate_recheck,82.21838297322392,82.23261893726885,0.01423596404492855,5.140731111168861,64.92087594233453,91.42267610877752,59.82680316083133,87.35911408439279,87.37335004843771
191,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,54.5196000020951,54.532965179532766,0.013365177437663078,6.638927850872278,62.07314087077975,64.7731099743396,57.39591899327934,61.15852785296738,61.171893030405045
192,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,53.37599688209593,53.38784889318049,0.01185201108455658,3.1678450759500265,58.458840008825064,61.39162392355502,53.62864094786346,56.54384195804596,56.555693969130516
193,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,56.679948000237346,56.69475509785116,0.014807097613811493,6.094468059018254,65.57298917323351,69.47923707775772,59.86762000247836,62.7744160592556,62.78922315686941
194,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,53.372550988569856,53.38627682067454,0.013725832104682922,5.265354178845882,60.91949017718434,67.40082218311727,55.71890715509653,58.63790516741574,58.65163099952042
195,1,55.0,50.0,concurrent,1,0,0,1,0,EXECUTE,published_after_gate_recheck,56.50189402513206,56.51729297824204,0.01539895310997963,2.462542848661542,57.75656481273472,62.20795400440693,52.787995897233486,58.9644368737936,58.97983582690358
196,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,53.19085088558495,53.20270289666951,0.01185201108455658,2.028129994869232,57.46391601860523,59.48537401854992,52.3659058380872,55.21898088045418,55.23083289153874
197,1,55.0,50.0,after_release,1,0,0,0,1,EXECUTE,published_after_gate_recheck,54.16143010370433,54.17345208115876,0.012021977454423904,5.553374066948891,60.94888621009886,72.82377313822508,56.072901003062725,59.714804170653224,59.72682614810765
198,1,55.0,50.0,concurrent,1,0,0,1,0,EXECUTE,published_after_gate_recheck,62.12542881257832,62.13558791205287,0.010159099474549294,3.1968799885362387,59.414740884676576,67.92095699347556,54.27704588510096,65.32230880111456,65.33246790058911
