scenario,run,baseline,seed,outcome,reason,paused_committed_before_submit,gateway_released,stale_executed,correct_revoke,ros_published,ros_observed,validation_latency_ms,e2e_latency_ms,intent_age_at_submit_ms,pause_ms,freshness_ms,exported_at
e1b,90,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,6.657882826402783,229.799,200,1000,2026-09-23T07:06:50.725603+00:00
e1b,91,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.4377529732882977,211.372,200,1000,2026-09-23T07:06:50.994614+00:00
e1b,92,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.145810052752495,217.545,200,1000,2026-09-23T07:06:51.276231+00:00
e1b,93,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.6297739930450916,233.946,200,1000,2026-09-23T07:06:51.581234+00:00
e1b,94,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.5984938945621252,214.63,200,1000,2026-09-23T07:06:51.861362+00:00
e1b,95,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.188824048265815,215.795,200,1000,2026-09-23T07:06:52.138570+00:00
e1b,96,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.0346188209950924,215.538,200,1000,2026-09-23T07:06:52.413262+00:00
e1b,97,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.7423538956791162,216.59,200,1000,2026-09-23T07:06:52.690273+00:00
e1b,98,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,5.443918984383345,222.453,200,1000,2026-09-23T07:06:52.977766+00:00
e1b,99,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,12.465593870729208,222.049,200,1000,2026-09-23T07:06:53.268941+00:00
e1b,0,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.03550690598785877,4.032063996419311,228.355,200,1000,2026-09-23T07:06:53.570880+00:00
e1b,1,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.036067795008420944,4.694835981354117,222.485,200,1000,2026-09-23T07:06:53.857760+00:00
e1b,2,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.021239975467324257,1.5021150466054678,226.273,200,1000,2026-09-23T07:06:54.147296+00:00
e1b,3,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.031178118661046028,1.4684409834444523,215.972,200,1000,2026-09-23T07:06:54.428659+00:00
e1b,4,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.02433592453598976,1.2426278553903103,219.831,200,1000,2026-09-23T07:06:54.712903+00:00
e1b,5,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.033844029530882835,7.678986061364412,219.454,200,1000,2026-09-23T07:06:54.995733+00:00
e1b,6,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.025065848603844643,7.306769024580717,220.094,200,1000,2026-09-23T07:06:55.282519+00:00
