run,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
35,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.598785074427724,,,2.7096359990537167,3.018264891579747,12.414437951520085,53.502734983339906,56.30842107348144,
36,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.663830902427435,,,3.0102389864623547,3.2199418637901545,6.310441996902227,53.65648306906223,57.67406988888979,
37,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,56.68870406225324,,,2.697933930903673,4.07620589248836,8.729413850232959,54.77934703230858,59.38663799315691,
38,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.98281500674784,,,2.110393950715661,2.2980060894042253,6.074069999158382,52.784459898248315,56.0932089574635,
39,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,55.001261876896024,,,5.092020146548748,5.299929063767195,10.370047995820642,55.816679960116744,60.09328202344477,
40,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.220335859805346,,,2.7911800425499678,3.9984509348869324,5.92651404440403,53.40107507072389,56.01151590235531,
41,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,56.35423678904772,,,3.2528750598430634,4.5249678660184145,8.271225960925221,54.30146190337837,59.60711184889078,
42,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,56.907424004748464,,,2.1448980551213026,3.403316019102931,5.728993099182844,52.963965106755495,59.052322059869766,
43,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.19194309413433,,,6.340728839859366,7.652475964277983,11.615219991654158,56.72035296447575,59.5326719339937,
44,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,53.240895038470626,53.253748919814825,0.01285388134419918,5.455640144646168,,,55.58353313244879,58.696535183116794,58.70938906446099
45,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,59.29415510036051,,,4.393731942400336,11.438159039244056,15.982052078470588,56.447932962328196,63.68788704276085,
46,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,62.93917400762439,,,2.4368148297071457,3.9033228531479836,6.591017823666334,53.52282291278243,65.37598883733153,
47,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,56.398520013317466,,,2.4350520689040422,3.8897681515663862,7.879622047767043,54.49515511281788,58.83357208222151,
48,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.366410080343485,,,3.3568989019840956,4.6661919914186,7.717117900028825,54.1522519197315,56.72330898232758,
49,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,52.81333392485976,52.825777092948556,0.012443168088793755,5.592938046902418,,,55.76408212073147,58.40627197176218,58.418715139850974
50,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,52.72328504361212,52.746588131412864,0.023303087800741196,2.3560039699077606,,,52.4855291005224,55.07928901351988,55.102592101320624
51,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,58.61474317498505,,,5.224406952038407,6.614562124013901,11.011990020051599,57.55982594564557,63.83915012702346,
