scenario,baseline,run,outcome,reason,gateway_released,stale_executed
STOP,direct,54,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,55,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,56,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,57,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,58,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,59,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,60,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,61,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,62,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,63,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,64,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,65,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,66,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,67,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,68,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,69,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,70,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,71,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,72,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,73,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,74,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,75,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,76,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,77,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,78,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,79,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,80,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,81,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,82,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,83,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,84,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,85,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,86,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,87,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,88,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,89,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,90,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,91,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,92,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,93,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,94,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,95,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,96,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,97,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,98,EXECUTE,direct_bypass_no_validation,1,1
STOP,direct,99,EXECUTE,direct_bypass_no_validation,1,1
STOP,local,0,REVOKE,precondition_failed: robot.moving == true,0,0
STOP,local,1,REVOKE,precondition_failed: robot.moving == true,0,0
