policy,delay_ms,push_notified,run,outcome,reason,gateway_released,stale_executed
local_push,250,1,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,250,1,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,250,1,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,250,1,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,250,1,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,250,1,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,250,,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,250,,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,250,,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,250,,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,250,,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,250,,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,250,,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,250,,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,250,,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,250,,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_stale,500,,0,EXECUTE,local_stale_guard_passed,1,1
local_stale,500,,1,EXECUTE,local_stale_guard_passed,1,1
local_stale,500,,2,EXECUTE,local_stale_guard_passed,1,1
local_stale,500,,3,EXECUTE,local_stale_guard_passed,1,1
local_stale,500,,4,EXECUTE,local_stale_guard_passed,1,1
local_stale,500,,5,EXECUTE,local_stale_guard_passed,1,1
local_stale,500,,6,EXECUTE,local_stale_guard_passed,1,1
local_stale,500,,7,EXECUTE,local_stale_guard_passed,1,1
local_stale,500,,8,EXECUTE,local_stale_guard_passed,1,1
local_stale,500,,9,EXECUTE,local_stale_guard_passed,1,1
local_push,500,1,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,500,1,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,500,1,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,500,1,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,500,1,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,500,1,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,500,1,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,500,1,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,500,1,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,500,1,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,500,,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
