run,inject,inject_offset_ms,publish_delay_ms,timing_valid,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_end_ms,toctou_blocked,authorized_publish,stale_publish,outcome,reason
89,0,0,50.0,,53.686289000324905,54.039992042817175,0.35370304249227047,3.1190559966489673,,,56.80534499697387,0,1,0,EXECUTE,published_after_gate_recheck
90,0,0,50.0,,54.0968090062961,54.41031698137522,0.3135079750791192,2.4043560260906816,,,56.50116503238678,0,1,0,EXECUTE,published_after_gate_recheck
91,1,50.0,50.0,0,55.43264304287732,55.73033995460719,0.2976969117298722,3.2413239823654294,53.52851399220526,59.35477197635919,58.673967025242746,0,1,1,EXECUTE,published_after_gate_recheck
92,0,0,50.0,,53.957388969138265,54.29087404627353,0.3334850771352649,2.24391499068588,,,56.201303959824145,0,1,0,EXECUTE,published_after_gate_recheck
93,1,50.0,50.0,0,54.71393500920385,55.08979898877442,0.3758639795705676,2.2999709472060204,52.60100599844009,58.15432290546596,57.01390595640987,0,1,1,EXECUTE,published_after_gate_recheck
94,1,50.0,50.0,0,54.41584694199264,54.690340999513865,0.274494057521224,2.2102020448073745,52.544248988851905,58.893749024719,56.626048986800015,0,1,1,EXECUTE,published_after_gate_recheck
95,1,50.0,50.0,0,54.82159799430519,55.11971702799201,0.2981190336868167,2.8945240192115307,53.10148501303047,58.49523202050477,57.716122013516724,0,1,1,EXECUTE,published_after_gate_recheck
96,0,0,50.0,,53.21312393061817,53.52637998294085,0.3132560523226857,2.338572987355292,,,55.55169691797346,0,1,0,EXECUTE,published_after_gate_recheck
97,1,50.0,50.0,0,54.382164031267166,54.69020106829703,0.3080370370298624,2.5360919535160065,52.815658040344715,58.218581951223314,56.91825598478317,0,1,1,EXECUTE,published_after_gate_recheck
98,0,0,50.0,,52.94910701923072,53.285158006474376,0.33605098724365234,2.4601509794592857,,,55.40925799869001,0,1,0,EXECUTE,published_after_gate_recheck
99,1,50.0,50.0,0,54.849900072440505,55.11798209045082,0.2680820180103183,2.394657931290567,52.74460499640554,57.98605701420456,57.24455800373107,0,1,1,EXECUTE,published_after_gate_recheck
100,0,0,50.0,,54.07175200525671,54.381701978854835,0.3099499735981226,2.8365959879010916,,,56.908347993157804,0,1,0,EXECUTE,published_after_gate_recheck
101,1,50.0,50.0,0,53.96847694646567,54.27170591428876,0.30322896782308817,2.2672900231555104,52.84583498723805,58.38291102554649,56.23576696962118,0,1,1,EXECUTE,published_after_gate_recheck
102,1,50.0,50.0,0,53.81066305562854,54.049591068178415,0.23892801254987717,2.9089109739288688,53.13264194410294,57.3958910536021,56.71957402955741,0,1,1,EXECUTE,published_after_gate_recheck
103,1,50.0,50.0,0,54.99465100001544,55.25638198014349,0.26173098012804985,2.2187880240380764,52.47956793755293,58.46699792891741,57.213439024053514,0,1,1,EXECUTE,published_after_gate_recheck
104,1,50.0,50.0,0,55.48288603313267,55.77721795998514,0.2943319268524647,2.5428159860894084,52.887983969412744,59.007461997680366,58.02570201922208,0,1,1,EXECUTE,published_after_gate_recheck
105,1,50.0,50.0,0,54.888423066586256,55.17086200416088,0.282438937574625,2.725807949900627,53.21256199385971,58.545787003822625,57.61423101648688,0,1,1,EXECUTE,published_after_gate_recheck
106,0,0,50.0,,52.98332194797695,53.341393009759486,0.3580710617825389,2.703386009670794,,,55.68670795764774,0,1,0,EXECUTE,published_after_gate_recheck
107,1,50.0,50.0,0,55.22450210992247,55.576021084561944,0.35151897463947535,2.0009599393233657,52.30163398664445,58.10445896349847,57.225462049245834,0,1,1,EXECUTE,published_after_gate_recheck
108,1,50.0,50.0,0,54.80536702089012,55.0876259803772,0.2822589594870806,2.242141985334456,52.5972789619118,57.966119959019125,57.04750900622457,0,1,1,EXECUTE,published_after_gate_recheck
109,1,50.0,50.0,0,54.67078508809209,55.04814209416509,0.37735700607299805,2.0535989897325635,52.359482971951365,59.06574206892401,56.72438407782465,0,1,1,EXECUTE,published_after_gate_recheck
110,1,50.0,50.0,0,54.797501070424914,55.165491066873074,0.3679899964481592,2.17161001637578,52.447919035330415,57.897572056390345,56.969111086800694,0,1,1,EXECUTE,published_after_gate_recheck
111,1,50.0,50.0,0,54.640949005261064,54.95475698262453,0.3138079773634672,2.344141947105527,52.59472399484366,58.97965899202973,56.98509095236659,0,1,1,EXECUTE,published_after_gate_recheck
112,1,50.0,50.0,0,54.727219976484776,54.99366007279605,0.2664400963112712,3.2088030129671097,53.52152104023844,60.2807680843398,57.936022989451885,0,1,1,EXECUTE,published_after_gate_recheck
113,1,50.0,50.0,0,55.32839708030224,55.62490306328982,0.2965059829875827,2.3261000169441104,52.91081708855927,58.529366040602326,57.65449709724635,0,1,1,EXECUTE,published_after_gate_recheck
114,1,50.0,50.0,0,55.20015605725348,55.55956007447094,0.3594040172174573,2.7181949699297547,53.31393296364695,58.8258319767192,57.918351027183235,0,1,1,EXECUTE,published_after_gate_recheck
115,1,50.0,50.0,0,55.73211400769651,56.0078090056777,0.2756949979811907,2.36196699552238,52.68506403081119,58.93075803760439,58.09408100321889,0,1,1,EXECUTE,published_after_gate_recheck
116,1,50.0,50.0,0,54.63446595240384,54.9134889151901,0.27902296278625727,2.272629993967712,52.622906980104744,57.77623492758721,56.907095946371555,0,1,1,EXECUTE,published_after_gate_recheck
117,1,50.0,50.0,0,54.73402398638427,55.05713995080441,0.3231159644201398,2.610722091048956,52.93927004095167,58.42140410095453,57.34474607743323,0,1,1,EXECUTE,published_after_gate_recheck
118,1,50.0,50.0,0,55.74980704113841,56.09761900268495,0.34781196154654026,3.375704982317984,54.17572602164,60.05433399695903,59.125512023456395,0,1,1,EXECUTE,published_after_gate_recheck
119,0,0,50.0,,53.31390199717134,53.59476793091744,0.28086593374609947,3.06556501891464,,,56.37946701608598,0,1,0,EXECUTE,published_after_gate_recheck
120,1,60.0,50.0,0,53.50882699713111,53.78044594544917,0.2716189483180642,3.0181260081008077,63.35589999798685,67.63875600881875,56.52695300523192,0,1,1,EXECUTE,published_after_gate_recheck
121,1,60.0,50.0,0,53.096012910827994,53.359526908025146,0.2635139971971512,2.8976700268685818,63.14602599013597,66.2031969986856,55.993682937696576,0,1,1,EXECUTE,published_after_gate_recheck
122,1,60.0,50.0,0,53.370186942629516,53.64915996324271,0.2789730206131935,2.6527110021561384,62.94081290252507,66.45788298919797,56.022897944785655,0,1,1,EXECUTE,published_after_gate_recheck
123,1,60.0,50.0,0,53.97759599145502,54.21931797172874,0.2417219802737236,2.7765630511566997,62.954418011941016,75.17469907179475,56.75415904261172,0,1,1,EXECUTE,published_after_gate_recheck
124,1,60.0,50.0,0,53.98684204556048,54.2873659869656,0.3005239414051175,3.53907304815948,63.94331203773618,67.34464701730758,57.52591509371996,0,1,1,EXECUTE,published_after_gate_recheck
125,0,0,50.0,,53.21101995650679,53.492165985517204,0.2811460290104151,2.442536992020905,,,55.653556948527694,0,1,0,EXECUTE,published_after_gate_recheck
126,1,60.0,50.0,0,54.292145068757236,54.531514062546194,0.2393689937889576,2.187108970247209,62.5647580018267,66.54519797302783,56.479254039004445,0,1,1,EXECUTE,published_after_gate_recheck
127,1,60.0,50.0,0,53.20703098550439,53.45863290131092,0.2516019158065319,2.3006920237094164,62.58053798228502,65.31728699337691,55.507723009213805,0,1,1,EXECUTE,published_after_gate_recheck
128,1,60.0,50.0,0,53.40736696962267,53.689916036091745,0.2825490664690733,2.842145971953869,63.130197930149734,67.28841096628457,56.24951294157654,0,1,1,EXECUTE,published_after_gate_recheck
129,0,0,50.0,,53.20542794652283,53.50634199567139,0.30091404914855957,2.4054590612649918,,,55.610887007787824,0,1,0,EXECUTE,published_after_gate_recheck
130,0,0,50.0,,53.66227496415377,53.94468398299068,0.2824090188369155,3.4152300795540214,,,57.07750504370779,0,1,0,EXECUTE,published_after_gate_recheck
131,1,60.0,50.0,0,53.553723031654954,53.863842971622944,0.3101199399679899,3.065433935262263,63.402077998034656,66.72163889743388,56.61915696691722,0,1,1,EXECUTE,published_after_gate_recheck
132,1,60.0,50.0,0,53.467811085283756,53.778052097186446,0.31024101190268993,3.0170039972290397,63.403170090168715,67.6365130348131,56.484815082512796,0,1,1,EXECUTE,published_after_gate_recheck
133,0,0,50.0,,53.067971020936966,53.37067903019488,0.30270800925791264,2.499873982742429,,,55.567845003679395,0,1,0,EXECUTE,published_after_gate_recheck
134,1,60.0,50.0,0,53.426833008416,53.68591903243214,0.2590860240161419,2.6717070722952485,62.921296106651425,65.88178500533104,56.098540080711246,0,1,1,EXECUTE,published_after_gate_recheck
135,1,60.0,50.0,0,53.434127010405064,53.67265408858657,0.2385270781815052,2.0742969354614615,62.373438966460526,66.15774193778634,55.508423945866525,0,1,1,EXECUTE,published_after_gate_recheck
136,0,0,50.0,,53.31776000093669,53.59311494976282,0.2753549488261342,2.8539879713207483,,,56.171747972257435,0,1,0,EXECUTE,published_after_gate_recheck
137,1,60.0,50.0,0,53.472758969292045,53.79926098976284,0.326502020470798,2.4660209892317653,62.78971000574529,66.1792119499296,55.93877995852381,0,1,1,EXECUTE,published_after_gate_recheck
138,0,0,50.0,,53.28440701123327,53.582044900394976,0.29763788916170597,3.215515986084938,,,56.49992299731821,0,1,0,EXECUTE,published_after_gate_recheck
