run,inject,inject_offset_ms,publish_delay_ms,timing_valid,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_end_ms,toctou_blocked,authorized_publish,stale_publish,outcome,reason
49,0,0,50.0,,53.363427985459566,53.623565938323736,0.2601379528641701,2.794231055304408,,,56.157659040763974,0,1,0,EXECUTE,published_after_gate_recheck
50,0,0,50.0,,53.08362399227917,53.35774796549231,0.2741239732131362,2.9290439561009407,,,56.01266794838011,0,1,0,EXECUTE,published_after_gate_recheck
51,1,1,50.0,1,54.610297083854675,,,2.735079964622855,4.141667974181473,8.085486013442278,57.34537704847753,1,0,0,REVOKE,context_version_changed_at_publish
52,0,0,50.0,,53.1698550330475,53.47929603885859,0.30944100581109524,3.2320020254701376,,,56.401857058517635,0,1,0,EXECUTE,published_after_gate_recheck
53,1,1,50.0,1,53.12503105960786,,,2.1457659313455224,3.3572569955140352,5.357470014132559,55.270796990953386,1,0,0,REVOKE,context_version_changed_at_publish
54,1,1,50.0,1,53.75661596190184,,,2.295715967193246,3.554756985977292,6.243950920179486,56.05233192909509,1,0,0,REVOKE,context_version_changed_at_publish
55,1,1,50.0,1,53.09350206516683,,,3.499232931062579,4.724350990727544,7.6434159418568015,56.59273499622941,1,0,0,REVOKE,context_version_changed_at_publish
56,1,1,50.0,1,54.07979292795062,,,2.1420969860628247,3.481630003079772,7.479256950318813,56.221889914013445,1,0,0,REVOKE,context_version_changed_at_publish
57,1,1,50.0,1,53.762916941195726,,,3.1050940742716193,4.45261097047478,7.780984044075012,56.868011015467346,1,0,0,REVOKE,context_version_changed_at_publish
58,0,0,50.0,,54.18106296565384,54.52817399054766,0.3471110248938203,2.461566007696092,,,56.64262897334993,0,1,0,EXECUTE,published_after_gate_recheck
59,0,0,50.0,,53.76274697482586,54.02937694452703,0.2666299697011709,2.7150230016559362,,,56.477769976481795,0,1,0,EXECUTE,published_after_gate_recheck
60,1,1,50.0,1,53.726359037682414,,,2.1160279866307974,3.3513649832457304,6.043764995411038,55.84238702431321,1,0,0,REVOKE,context_version_changed_at_publish
61,0,0,50.0,,53.680151933804154,53.917887969873846,0.23773603606969118,2.879159990698099,,,56.55931192450225,0,1,0,EXECUTE,published_after_gate_recheck
