scenario,run,baseline,seed,outcome,ros_published,ros_observed,stale_executed,stale_observed,witness_agreement,obsolete_intent,correct_revoke,validation_latency_ms,e2e_latency_ms,pause_ms,freshness_ms
e1b,59,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.009226009249687,400,500
e1b,60,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.120415912941098,400,500
e1b,61,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7043260158970952,400,500
e1b,62,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.78532802965492,400,500
e1b,63,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6799300210550427,400,500
e1b,64,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.515981974080205,400,500
e1b,65,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.5482119051739573,400,500
e1b,66,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7256959108635783,400,500
e1b,67,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.259977045468986,400,500
e1b,68,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7421270022168756,400,500
e1b,69,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8117669969797134,400,500
e1b,70,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.2254009963944554,400,500
e1b,71,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.5593240968883038,400,500
e1b,72,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.980772940441966,400,500
e1b,73,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7274990677833557,400,500
e1b,74,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.0706009818241,400,500
e1b,75,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.5904420288279653,400,500
e1b,76,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6836569411680102,400,500
e1b,77,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.4201420126482844,400,500
e1b,78,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.869766041636467,400,500
